Conference,Team,Week 0 (August 23),Week 1 (Aug 28-Sept 1),Week 2 (Sept 5-6),Week 3 (Sept 11-13),Week 4 (Sept 18-20),Week 5 (Sept 25-27),Week 6 (Oct 2-4),Week 7 (Oct 8-11),Week 8 (Oct 14-18),Week 9 (Oct 21-25),Week 10 (Oct 28-Nov 1),Week 11 (Nov 4-8),Week 12 (Nov 11-15),Week 13 (Nov 18-22),Week 14 (Nov 25-29),Week 15 (Dec 5-6),Week 16 (Dec 13),Playoffs,
Mountain West,San Diego State,BYE,Stony Brook,@ Washington State,BYE,Cal,@ Northern Illinois,Colorado State,@ Nevada,BYE,@ Fresno State,Wyoming,@ Hawaii,Boise State,San Jose State,@ New Mexico,,,,
Mountain West,San Jose State,BYE,Central Michigan,@ Texas,BYE,Idaho,@ Stanford,New Mexico,@ Wyoming,@ Utah State,BYE,Hawaii,Air Force,@ Nevada,@ San Diego State,Fresno State,,,,
Mountain West,UNLV,Idaho State,@ Sam Houston,UCLA,BYE,@ Miami (OH),BYE,@ Wyoming,Air Force,@ Boise State,BYE,New Mexico,@ Colorado State,Utah State,Hawaii,@ Nevada,,,,
Mountain West,Utah State,BYE,UTEP,@ Texas A&M,Air Force,McNeese,@ Vanderbilt,BYE,@ Hawaii,San Jose State,@ New Mexico,BYE,Nevada,@ UNLV,@ Fresno State,Boise State,,,,
Mountain West,Wyoming,BYE,@ Akron,Northern Iowa,Utah,@ Colorado,BYE,UNLV,San Jose State,@ Air Force,Colorado State,@ San Diego State,BYE,@ Fresno State,Nevada,@ Hawaii,,,,
PAC 12,Oregon State,BYE,Cal,Fresno State,@ Texas Tech,@ Oregon,Houston,@ Appalachian State,Wake Forest,Lafayette,BYE,Washington State,Sam Houston,@ Tulsa,BYE,@ Washington State,,,,
PAC 12,Washington State,BYE,Idaho,San Diego State,@ North Texas,Washington,@ Colorado State,BYE,@ Ole Miss,@ Virginia,Toledo,@ Oregon State,BYE,Louisiana Tech,@ James Madison,Oregon State,,,,
Sun Belt,Appalachian State,BYE,vs Charlotte,Lindenwood,@ Southern Miss,BYE,@ Boise State,Oregon State,@ Georgia State,Coastal Carolina,@ Old Dominion,BYE,Georgia Southern,@ James Madison,Marshall,Arkansas State,Sun Belt Championship Game          Fri 7:00pm ET ESPN                TBD,,,
Sun Belt,Arkansas State,BYE,Southeast Missouri,@ Arkansas,Iowa State,@ Kennesaw State,@ Louisiana Monroe,Texas State,BYE,@ South Alabama,Georgia Southern,@ Troy,Southern Miss,BYE,Louisiana,@ Appalachian State,,,,
Sun Belt,Coastal Carolina,BYE,@ Virginia,Charleston Southern,East Carolina,@ South Alabama,BYE,@ Old Dominion,Louisiana Monroe,@ Appalachian State,BYE,Marshall,Georgia State,@ Georgia Southern,@ South Carolina,James Madison,,,,
Sun Belt,Georgia Southern,BYE,@ Fresno State,@ USC,Jacksonville State,Maine,@ James Madison,BYE,Southern Miss,Georgia State,@ Arkansas State,BYE,@ Appalachian State,Coastal Carolina,Old Dominion,@ Marshall,,,,
Sun Belt,Georgia State,BYE,@ Ole Miss,Memphis,Murray State,@ Vanderbilt,BYE,James Madison,Appalachian State,@ Georgia Southern,South Alabama,BYE,@ Coastal Carolina,Marshall,@ Troy,@ Old Dominion,,,,
Sun Belt,James Madison,BYE,Weber State,@ Louisville,BYE,@ Liberty,Georgia Southern,@ Georgia State,Louisiana,Old Dominion,BYE,@ Texas State,@ Marshall,Appalachian State,Washington State,@ Coastal Carolina,,,,
Sun Belt,Louisiana,BYE,Rice,McNeese,@ Missouri,@ Eastern Michigan,Marshall,BYE,@ James Madison,Southern Miss,@ Troy,@ South Alabama,Texas State,BYE,@ Arkansas State,Louisiana Monroe,,,,
Sun Belt,Louisiana Monroe,BYE,Saint Francis,@ Alabama,BYE,@ UTEP,Arkansas State,@ Northwestern,@ Coastal Carolina,Troy,@ Southern Miss,Old Dominion,BYE,South Alabama,@ Texas State,@ Louisiana,,,,
Sun Belt,Marshall,BYE,@ Georgia,Missouri State,Eastern Kentucky,@ Middle Tennessee,@ Louisiana,BYE,Old Dominion,Texas State,BYE,@ Coastal Carolina,James Madison,@ Georgia State,@ Appalachian State,Georgia Southern,,,,
Sun Belt,Old Dominion,BYE,@ Indiana,NC Central,@ Virginia Tech,BYE,Liberty,Coastal Carolina,@ Marshall,@ James Madison,Appalachian State,@ Louisiana Monroe,BYE,Troy,@ Georgia Southern,Georgia State,,,,
Sun Belt,South Alabama,BYE,Morgan State,Tulane,@ Auburn,Coastal Carolina,@ North Texas,@ Troy,BYE,Arkansas State,@ Georgia State,Louisiana,BYE,@ Louisiana Monroe,Southern Miss,@ Texas State,,,,
Sun Belt,Southern Miss,BYE,Mississippi State,Jackson State,Appalachian State,@ Louisiana Tech,Jacksonville State,BYE,@ Georgia Southern,@ Louisiana,Louisiana Monroe,BYE,@ Arkansas State,Texas State,@ South Alabama,Troy,,,,
Sun Belt,Texas State,BYE,Eastern Michigan,@ UTSA,@ Arizona State,Nicholls,BYE,@ Arkansas State,Troy,@ Marshall,BYE,James Madison,@ Louisiana,@ Southern Miss,Louisiana Monroe,South Alabama,,,,
Sun Belt,Troy,BYE,Nicholls,@ Clemson,Memphis,@ Buffalo,BYE,South Alabama,@ Texas State,@ Louisiana Monroe,Louisiana,Arkansas State,BYE,@ Old Dominion,Georgia State,@ Southern Miss,,,,
Independent,Notre Dame,BYE,@ Miami (FL),BYE,Texas A&M,Purdue,@ Arkansas,Boise State,NC State,USC,BYE,@ Boston College,Navy,@ Pitt,Syracuse,@ Stanford,,,,
Independent,UConn,BYE,Central Connecticut,@ Syracuse,@ Delaware,Ball State,@ Buffalo,Florida International,BYE,@ Boston College,@ Rice,UAB,Duke,Air Force,@ Florida Atlantic,BYE,,,,
